,ZIP,date_start - date_end,Predicted new cases,cases/population * 10000
349,90043,2020/4/8 - 2020/4/11,3.3430023,0.749098599
350,90043,2020/4/9 - 2020/4/12,1.8524026,0.415085614
351,90043,2020/4/10 - 2020/4/13,0.72511005,0.162482366
352,90043,2020/4/12 - 2020/4/15,2.1518893,0.482194484
353,90043,2020/4/13 - 2020/4/16,4.2756634,0.958088909
354,90043,2020/4/14 - 2020/4/17,5.8366575,1.307875843
355,90043,2020/4/15 - 2020/4/18,5.811433,1.302223506
356,90043,2020/4/16 - 2020/4/19,4.144946,0.928797835
357,90043,2020/4/17 - 2020/4/20,7.7990327,1.747604071
358,90043,2020/4/18 - 2020/4/21,16.996702,3.808614111
359,90043,2020/4/19 - 2020/4/22,16.67358,3.736209059
360,90043,2020/4/20 - 2020/4/23,15.783664,3.53679695
361,90043,2020/4/21 - 2020/4/24,18.6871,4.187397642
362,90043,2020/4/22 - 2020/4/25,11.999503,2.68884378
363,90043,2020/4/23 - 2020/4/26,10.198198,2.285208129
364,90043,2020/4/24 - 2020/4/27,6.544903,1.466579156
365,90043,2020/4/25 - 2020/4/28,12.153534,2.723358939
366,90043,2020/4/26 - 2020/4/29,10.155071,2.275544235
367,90043,2020/4/27 - 2020/4/30,10.225279,2.291276325
368,90043,2020/4/28 - 2020/5/1,16.872154,3.780705455
369,90043,2020/4/29 - 2020/5/2,12.191939,2.731964809
370,90043,2020/4/30 - 2020/5/3,12.238682,2.742438836
371,90043,2020/5/1 - 2020/5/4,6.613488,1.481947744
372,90043,2020/5/2 - 2020/5/5,14.536713,3.257380654
373,90043,2020/5/3 - 2020/5/6,16.558258,3.710367727
374,90043,2020/5/4 - 2020/5/7,11.992655,2.687309208
375,90043,2020/5/5 - 2020/5/8,10.304941,2.309127026
376,90043,2020/5/6 - 2020/5/9,10.323763,2.313344588
377,90043,2020/5/7 - 2020/5/10,5.699185,1.277071032
378,90043,2020/5/8 - 2020/5/11,2.808479,0.629322847
379,90043,2020/5/9 - 2020/5/12,8.842244,1.981366471
380,90043,2020/5/10 - 2020/5/13,4.835492,1.08353511
381,90043,2020/5/11 - 2020/5/14,4.5325546,1.015652996
382,90043,2020/5/12 - 2020/5/15,7.035552,1.576523635
383,90043,2020/5/13 - 2020/5/16,8.1578665,1.828011401
384,90043,2020/5/14 - 2020/5/17,3.940064,0.882887927
385,90043,2020/5/15 - 2020/5/18,9.028324,2.023063197
386,90043,2020/5/16 - 2020/5/19,5.626451,1.260772854
387,90043,2020/5/17 - 2020/5/20,26.621372,5.965306255
388,90043,2020/5/18 - 2020/5/21,14.106666,3.16101589
389,90043,2020/5/19 - 2020/5/22,12.270633,2.749598392
390,90043,2020/5/20 - 2020/5/23,13.193053,2.956294003
391,90043,2020/5/21 - 2020/5/24,10.053061,2.252685713
392,90043,2020/5/22 - 2020/5/25,13.453817,3.014725921
393,90043,2020/5/23 - 2020/5/26,17.932995,4.018418187
394,90043,2020/5/24 - 2020/5/27,20.588493,4.613461211
395,90043,2020/5/25 - 2020/5/28,8.087896,1.812332522
396,90043,2020/5/26 - 2020/5/29,9.610938,2.153615092
397,90043,2020/5/27 - 2020/5/30,6.9003677,1.546231595
398,90045,2020/3/22 - 2020/3/25,-1.3195062,-0.320665428
399,90045,2020/3/23 - 2020/3/26,-1.4662886,-0.356336379
400,90045,2020/3/24 - 2020/3/27,-0.41605902,-0.101110359
401,90045,2020/3/25 - 2020/3/28,-1.4125857,-0.343285556
402,90045,2020/3/26 - 2020/3/29,0.3781407,0.091895474
403,90045,2020/3/27 - 2020/3/30,-0.5263915,-0.12792328
404,90045,2020/3/28 - 2020/3/31,-0.040998936,-0.009963531
405,90045,2020/3/29 - 2020/4/1,0.85538745,0.207875635
406,90045,2020/3/30 - 2020/4/2,1.2012849,0.291935378
407,90045,2020/3/31 - 2020/4/3,0.58931446,0.143214771
408,90045,2020/4/1 - 2020/4/4,6.458128,1.569449555
409,90045,2020/4/2 - 2020/4/5,7.6203375,1.851888864
410,90045,2020/4/3 - 2020/4/6,0.64599776,0.156989906
411,90045,2020/4/4 - 2020/4/7,1.6351393,0.397370373
412,90045,2020/4/5 - 2020/4/8,-0.04573226,-0.01111382
413,90045,2020/4/6 - 2020/4/9,1.1116991,0.270164306
414,90045,2020/4/7 - 2020/4/10,-1.2331071,-0.299668787
415,90045,2020/4/8 - 2020/4/11,-0.37749457,-0.091738456
416,90045,2020/4/9 - 2020/4/12,-0.013054371,-0.003172464
417,90045,2020/4/10 - 2020/4/13,0.24811244,0.060296104
418,90045,2020/4/11 - 2020/4/14,1.3381057,0.325185467
419,90045,2020/4/12 - 2020/4/15,-0.66172457,-0.160811822
420,90045,2020/4/13 - 2020/4/16,0.21408486,0.052026748
421,90045,2020/4/14 - 2020/4/17,0.31914663,0.077558782
422,90045,2020/4/15 - 2020/4/18,0.56723523,0.137849093
